principal,system,role,privileged,days_since_login,last_reviewed_days,enabled,mfa_enrolled
a.chen@example-insurance.com,DataLake,iam.admin,true,88,400,true,true
a.chen@example-insurance.com,ERP,vendor.create,true,240,60,true,true
a.chen@example-insurance.com,CRM,claims.assessor,false,240,60,true,false
b.okafor@example-insurance.com,DataLake,sales.user,false,30,190,true,true
c.ramirez@example-insurance.com,ERP,payments.initiator,false,12,260,true,true
c.ramirez@example-insurance.com,ERP,sales.user,false,30,60,true,true
d.singh@example-insurance.com,CRM,iam.admin,true,30,260,true,true
e.novak@example-insurance.com,AzureAD,payments.approver,true,55,15,true,true
f.tanaka@example-insurance.com,ERP,iam.admin,true,88,120,true,true
g.mueller@example-insurance.com,ERP,audit.reviewer,false,55,120,true,true
g.mueller@example-insurance.com,ClaimsHub,audit.reviewer,false,240,190,true,false
g.mueller@example-insurance.com,DataLake,sales.user,false,88,190,false,true
h.patel@example-insurance.com,PolicyAdmin,dev.deploy,true,1,190,false,true
h.patel@example-insurance.com,ERP,payments.approver,true,30,190,true,true
i.rossi@example-insurance.com,AzureAD,iam.admin,true,3,260,true,true
i.rossi@example-insurance.com,ERP,iam.admin,true,120,15,true,true
i.rossi@example-insurance.com,ClaimsHub,audit.reviewer,false,88,120,true,true
j.kowalski@example-insurance.com,CRM,audit.reviewer,false,12,15,true,true
j.kowalski@example-insurance.com,AzureAD,iam.admin,true,12,400,false,true
k.nguyen@example-insurance.com,ERP,dev.deploy,true,30,400,true,true
k.nguyen@example-insurance.com,DataLake,prod.dba,true,120,60,false,true
k.nguyen@example-insurance.com,AzureAD,sales.user,false,88,60,true,true
l.dubois@example-insurance.com,ERP,dev.deploy,true,12,190,true,false
m.silva@example-insurance.com,ClaimsHub,iam.admin,true,240,260,true,true
m.silva@example-insurance.com,AzureAD,prod.dba,true,88,190,true,true
n.haddad@example-insurance.com,AzureAD,claims.assessor,false,400,60,true,true
o.lindqvist@example-insurance.com,ERP,payments.initiator,false,240,120,true,true
o.lindqvist@example-insurance.com,CRM,vendor.create,true,3,120,true,true
p.morales@example-insurance.com,PolicyAdmin,audit.reviewer,false,55,190,true,true
p.morales@example-insurance.com,CRM,iam.admin,true,12,260,true,true
q.zhang@example-insurance.com,DataLake,audit.reviewer,false,55,190,true,true
q.zhang@example-insurance.com,CRM,audit.reviewer,false,55,400,true,true
r.oconnor@example-insurance.com,ClaimsHub,audit.reviewer,false,240,120,true,true
r.oconnor@example-insurance.com,ClaimsHub,vendor.create,true,30,120,true,true
s.fischer@example-insurance.com,DataLake,claims.assessor,false,120,60,true,true
s.fischer@example-insurance.com,DataLake,vendor.create,true,120,120,true,true
s.fischer@example-insurance.com,DataLake,iam.admin,true,1,60,true,true
t.yilmaz@example-insurance.com,ClaimsHub,payments.initiator,false,12,400,true,true
t.yilmaz@example-insurance.com,ClaimsHub,payments.approver,true,1,60,true,true
t.yilmaz@example-insurance.com,ClaimsHub,prod.dba,true,400,15,true,true
z.auditor@example-insurance.com,ERP,payments.initiator,false,5,30,true,true
z.auditor@example-insurance.com,ERP,payments.approver,true,5,30,true,true
